Inches,Price_euros,Ram (GB),Weight (kg),HDD (GB),SSD (GB),Hybrid (GB),Flash Storage (GB),Total_Storage (GB),Screen_Width,Screen_Height,Touchscreen,Cpu_Speed_GHz,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,OpSys_Clean_Chrome OS,OpSys_Clean_Linux,OpSys_Clean_MacOS,OpSys_Clean_No OS,OpSys_Clean_Windows,Cpu_Brand_Intel,Cpu_Brand_Samsung,Gpu_Brand_ARM,Gpu_Brand_Intel,Gpu_Brand_Nvidia,Cpu_Name_TE,Gpu_Name_TE,PPI,Is_High_RAM,Is_SSD,Cpu_Performance_Class_Num,Gpu_Performance_Class_Num,Gpu_Dedicated
13.3,1339.69,8,1.37,0.0,128.0,0.0,0.0,128.0,2560,1600,0,2.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,1391.9483333333335,1764.01125,226.98300468106115,0,1,1,1,0
13.3,898.94,8,1.34,0.0,0.0,0.0,128.0,128.0,1440,900,0,1.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,1391.9483333333335,1022.728,127.67794013309688,0,0,1,0,0
15.6,575.0,8,1.86,0.0,256.0,0.0,0.0,256.0,1920,1080,0,2.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,919.3180829015544,1141.0898226950355,141.21199808219862,0,1,1,0,0
15.4,2537.45,16,1.83,0.0,512.0,0.0,0.0,512.0,2880,1800,0,2.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,2493.8475,2537.45,220.53462386625827,1,1,2,2,1
13.3,1803.6,8,1.37,0.0,256.0,0.0,0.0,256.0,2560,1600,0,3.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,1391.9483333333335,1921.8,226.98300468106115,0,1,2,1,0
15.6,400.0,4,2.1,500.0,0.0,0.0,0.0,500.0,1366,768,0,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,445.8241666666667,444.08090909090913,100.45466986113651,0,0,2,0,1
15.4,2139.97,16,2.04,0.0,0.0,0.0,256.0,256.0,2880,1800,0,2.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,2493.8475,2139.97,220.53462386625827,1,0,2,2,0
13.3,1158.7,8,1.34,0.0,0.0,0.0,256.0,256.0,1440,900,0,1.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,1391.9483333333335,1022.728,127.67794013309688,0,0,1,0,0
14.0,1495.0,16,1.3,0.0,512.0,0.0,0.0,512.0,1920,1080,0,1.8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,1206.54,988.9233333333334,157.3505121487356,1,1,1,0,1
14.0,770.0,8,1.6,0.0,256.0,0.0,0.0,256.0,1920,1080,0,1.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,944.0380555555556,1205.7682352941176,157.3505121487356,0,1,0,1,0
