Company,TypeName,Inches,Price_euros,Ram (GB),Weight (kg),HDD (GB),SSD (GB),Hybrid (GB),Flash Storage (GB),Total_Storage (GB),OpSys_Clean,Screen_Width,Screen_Height,Touchscreen,Cpu_Speed_GHz,Cpu_Brand,Cpu_Name,Gpu_Brand,Gpu_Name
Apple,Ultrabook,13.3,1339.69,8,1.37,0.0,128.0,0.0,0.0,128.0,MacOS,2560,1600,0,2.3,Intel,Core i5,Intel,Iris Plus Graphics 640
Apple,Ultrabook,13.3,898.94,8,1.34,0.0,0.0,0.0,128.0,128.0,MacOS,1440,900,0,1.8,Intel,Core i5,Intel,HD Graphics 6000
HP,Notebook,15.6,575.0,8,1.86,0.0,256.0,0.0,0.0,256.0,No OS,1920,1080,0,2.5,Intel,Core i5 7200U,Intel,HD Graphics 620
Apple,Ultrabook,15.4,2537.45,16,1.83,0.0,512.0,0.0,0.0,512.0,MacOS,2880,1800,0,2.7,Intel,Core i7,AMD,Radeon Pro 455
Apple,Ultrabook,13.3,1803.6,8,1.37,0.0,256.0,0.0,0.0,256.0,MacOS,2560,1600,0,3.1,Intel,Core i5,Intel,Iris Plus Graphics 650
Acer,Notebook,15.6,400.0,4,2.1,500.0,0.0,0.0,0.0,500.0,Windows,1366,768,0,3.0,AMD,A9-Series 9420,AMD,Radeon R5
Apple,Ultrabook,15.4,2139.97,16,2.04,0.0,0.0,0.0,256.0,256.0,MacOS,2880,1800,0,2.2,Intel,Core i7,Intel,Iris Pro Graphics
Apple,Ultrabook,13.3,1158.7,8,1.34,0.0,0.0,0.0,256.0,256.0,MacOS,1440,900,0,1.8,Intel,Core i5,Intel,HD Graphics 6000
Asus,Ultrabook,14.0,1495.0,16,1.3,0.0,512.0,0.0,0.0,512.0,Windows,1920,1080,0,1.8,Intel,Core i7 8550U,Nvidia,GeForce MX150
Acer,Ultrabook,14.0,770.0,8,1.6,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,1.6,Intel,Core i5 8250U,Intel,UHD Graphics 620
HP,Notebook,15.6,393.9,4,1.86,500.0,0.0,0.0,0.0,500.0,No OS,1366,768,0,2.5,Intel,Core i5 7200U,Intel,HD Graphics 620
HP,Notebook,15.6,344.99,4,1.86,500.0,0.0,0.0,0.0,500.0,No OS,1920,1080,0,2.0,Intel,Core i3 6006U,Intel,HD Graphics 520
Apple,Ultrabook,15.4,2439.97,16,1.83,0.0,256.0,0.0,0.0,256.0,MacOS,2880,1800,0,2.8,Intel,Core i7,AMD,Radeon Pro 555
Dell,Notebook,15.6,498.9,4,2.2,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,2.0,Intel,Core i3 6006U,AMD,Radeon R5 M430
Apple,Ultrabook,12.0,1262.4,8,0.92,0.0,256.0,0.0,0.0,256.0,MacOS,2304,1440,0,1.2,Intel,Core M m3,Intel,HD Graphics 615
Apple,Ultrabook,13.3,1518.55,8,1.37,0.0,256.0,0.0,0.0,256.0,MacOS,2560,1600,0,2.3,Intel,Core i5,Intel,Iris Plus Graphics 640
Dell,Notebook,15.6,745.0,8,2.2,0.0,256.0,0.0,0.0,256.0,Windows,1920,1080,0,2.7,Intel,Core i7 7500U,AMD,Radeon R5 M430
